,actual_return,VaR_95,VaR_99,CVaR_95,CVaR_99
2025-06-19,-0.17652255245691922,-1.7639370541102846,-3.3296573407801597,-2.848995369680483,-5.069168028815336
2025-06-20,0.8795131452827345,-1.7639370541102846,-3.3296573407801597,-2.848995369680483,-5.069168028815336
2025-06-23,-0.879513145282729,-1.7639370541102846,-3.3296573407801597,-2.848995369680483,-5.069168028815336
2025-06-24,0.0,-1.7639370541102846,-3.3296573407801597,-2.848995369680483,-5.069168028815336
2025-06-25,0.0,-1.7639370541102846,-3.3296573407801597,-2.848995369680483,-5.069168028815336
2025-06-26,-0.35398267051240623,-1.7639370541102846,-3.3296573407801597,-2.848995369680483,-5.069168028815336
2025-06-27,0.5305052229693319,-1.7639370541102846,-3.3296573407801597,-2.848995369680483,-5.069168028815336
2025-06-30,0.5277057100843819,-1.7639370541102846,-3.3296573407801597,-2.848995369680483,-5.069168028815336
2025-07-01,2.0834086902842053,-1.7639370541102846,-3.3296573407801597,-2.848995369680483,-5.069168028815336
2025-07-02,-0.34423441909729013,-2.3950508280641616,-4.520916977715687,-3.8660629786808185,-6.868462462238245
2025-07-03,-0.17256259674698363,-2.3950508280641616,-4.520916977715687,-3.8660629786808185,-6.868462462238245
2025-07-04,0.8598505255231771,-2.3950508280641616,-4.520916977715687,-3.8660629786808185,-6.868462462238245
2025-07-07,0.3418806748785682,-2.3950508280641616,-4.520916977715687,-3.8660629786808185,-6.868462462238245
2025-07-08,0.68027473227524,-2.3950508280641616,-4.520916977715687,-3.8660629786808185,-6.868462462238245
2025-07-09,4.149973090675283,-2.3950508280641616,-4.520916977715687,-3.8660629786808185,-6.868462462238245
2025-07-10,-0.16273396593754824,-2.3950508280641616,-4.520916977715687,-3.8660629786808185,-6.868462462238245
2025-07-11,2.095161248577824,-2.3950508280641616,-4.520916977715687,-3.8660629786808185,-6.868462462238245
2025-07-14,-0.4796172263493055,-2.3950508280641616,-4.520916977715687,-3.8660629786808185,-6.868462462238245
2025-07-15,-1.6155440222285256,-2.3950508280641616,-4.520916977715687,-3.8660629786808185,-6.868462462238245
2025-07-16,0.6493529310548312,-2.3950508280641616,-4.520916977715687,-3.8660629786808185,-6.868462462238245
2025-07-17,0.6451635281488817,-2.3950508280641616,-4.520916977715687,-3.8660629786808185,-6.868462462238245
2025-07-18,-0.48348200545834047,-2.3950508280641616,-4.520916977715687,-3.8660629786808185,-6.868462462238245
2025-07-21,-0.9740336748384754,-2.3950508280641616,-4.520916977715687,-3.8660629786808185,-6.868462462238245
2025-07-22,1.4575156802968086,-2.3950508280641616,-4.520916977715687,-3.8660629786808185,-6.868462462238245
2025-07-23,-0.16090108057006625,-2.3950508280641616,-4.520916977715687,-3.8660629786808185,-6.868462462238245
2025-07-24,0.0,-2.3950508280641616,-4.520916977715687,-3.8660629786808185,-6.868462462238245
2025-07-25,-0.16116038943415328,-2.3950508280641616,-4.520916977715687,-3.8660629786808185,-6.868462462238245
2025-07-28,1.2820688429061469,-2.3950508280641616,-4.520916977715687,-3.8660629786808185,-6.868462462238245
2025-07-29,-2.9081209300841735,-2.3950508280641616,-4.520916977715687,-3.8660629786808185,-6.868462462238245
2025-07-30,-0.16406894574598888,-2.9110966239689806,-5.24937130702396,-4.4879615074156085,-7.5622435479487145
2025-07-31,-1.1560822401075859,-2.9110966239689806,-5.24937130702396,-4.4879615074156085,-7.5622435479487145
2025-08-01,0.0,-2.9110966239689806,-5.24937130702396,-4.4879615074156085,-7.5622435479487145
2025-08-04,1.4839513862774216,-2.9110966239689806,-5.24937130702396,-4.4879615074156085,-7.5622435479487145
2025-08-05,0.6525308634922421,-2.9110966239689806,-5.24937130702396,-4.4879615074156085,-7.5622435479487145
2025-08-06,1.2924250980935212,-2.9110966239689806,-5.24937130702396,-4.4879615074156085,-7.5622435479487145
2025-08-07,-0.9677494882065257,-2.9110966239689806,-5.24937130702396,-4.4879615074156085,-7.5622435479487145
2025-08-08,0.3236248779208325,-2.9110966239689806,-5.24937130702396,-4.4879615074156085,-7.5622435479487145
2025-08-11,0.9646377051805335,-2.9110966239689806,-5.24937130702396,-4.4879615074156085,-7.5622435479487145
2025-08-12,0.7968169649176882,-2.9110966239689806,-5.24937130702396,-4.4879615074156085,-7.5622435479487145
2025-08-13,-0.7968169649176845,-2.9110966239689806,-5.24937130702396,-4.4879615074156085,-7.5622435479487145
2025-08-14,4.229291219025157,-2.9110966239689806,-5.24937130702396,-4.4879615074156085,-7.5622435479487145
2025-08-15,-1.389983768903371,-2.9110966239689806,-5.24937130702396,-4.4879615074156085,-7.5622435479487145
2025-08-18,0.3105592558153067,-2.9110966239689806,-5.24937130702396,-4.4879615074156085,-7.5622435479487145
2025-08-19,-0.4662013105811301,-2.9110966239689806,-5.24937130702396,-4.4879615074156085,-7.5622435479487145
2025-08-20,-1.8868484304382804,-2.9110966239689806,-5.24937130702396,-4.4879615074156085,-7.5622435479487145
2025-08-21,1.8868484304382953,-2.9110966239689806,-5.24937130702396,-4.4879615074156085,-7.5622435479487145
2025-08-22,0.6211200092640676,-2.9110966239689806,-5.24937130702396,-4.4879615074156085,-7.5622435479487145
2025-08-25,-1.560094044247966,-2.9110966239689806,-5.24937130702396,-4.4879615074156085,-7.5622435479487145
2025-08-26,1.5600940442479811,-2.9110966239689806,-5.24937130702396,-4.4879615074156085,-7.5622435479487145
2025-08-27,6.734031998506797,-2.105562654818214,-3.7936766448232153,-3.2431737868154116,-5.458056930019381
2025-08-28,-0.14482261763647636,-2.105562654818214,-3.7936766448232153,-3.2431737868154116,-5.458056930019381
2025-08-29,-0.5813969865419957,-2.105562654818214,-3.7936766448232153,-3.2431737868154116,-5.458056930019381
2025-09-03,-2.359991534087338,-2.105562654818214,-3.7936766448232153,-3.2431737868154116,-5.458056930019381
2025-09-04,2.7963558628646843,-2.105562654818214,-3.7936766448232153,-3.2431737868154116,-5.458056930019381
2025-09-05,-2.052858014112882,-2.105562654818214,-3.7936766448232153,-3.2431737868154116,-5.458056930019381
2025-09-08,-3.313556159609879,-2.105562654818214,-3.7936766448232153,-3.2431737868154116,-5.458056930019381
2025-09-09,-0.6144412572341097,-2.105562654818214,-3.7936766448232153,-3.2431737868154116,-5.458056930019381
2025-09-10,1.377221462122709,-2.105562654818214,-3.7936766448232153,-3.2431737868154116,-5.458056930019381
2025-09-11,-0.15209128407066203,-2.105562654818214,-3.7936766448232153,-3.2431737868154116,-5.458056930019381
2025-09-12,0.1520912840706523,-2.105562654818214,-3.7936766448232153,-3.2431737868154116,-5.458056930019381
2025-09-15,0.0,-2.105562654818214,-3.7936766448232153,-3.2431737868154116,-5.458056930019381
2025-09-16,-0.30441423812281326,-2.105562654818214,-3.7936766448232153,-3.2431737868154116,-5.458056930019381
2025-09-17,-1.227009259181447,-2.105562654818214,-3.7936766448232153,-3.2431737868154116,-5.458056930019381
2025-09-18,-1.398624197473984,-2.105562654818214,-3.7936766448232153,-3.2431737868154116,-5.458056930019381
2025-09-19,-1.4184634991956413,-2.105562654818214,-3.7936766448232153,-3.2431737868154116,-5.458056930019381
2025-09-22,-1.600034134644119,-2.105562654818214,-3.7936766448232153,-3.2431737868154116,-5.458056930019381
2025-09-23,0.3220614700042157,-2.105562654818214,-3.7936766448232153,-3.2431737868154116,-5.458056930019381
2025-09-24,0.8006447893741282,-2.105562654818214,-3.7936766448232153,-3.2431737868154116,-5.458056930019381
2025-09-25,0.47732787526575904,-2.105562654818214,-3.7936766448232153,-3.2431737868154116,-5.458056930019381
2025-09-26,0.0,-1.5646052074421863,-2.877827263718185,-2.4620730905440182,-4.2553343028811765
2025-09-29,-0.6369448285479823,-1.5646052074421863,-2.877827263718185,-2.4620730905440182,-4.2553343028811765
2025-09-30,-0.96308930609613,-1.5646052074421863,-2.877827263718185,-2.4620730905440182,-4.2553343028811765
2025-10-01,0.6430890330290332,-1.5646052074421863,-2.877827263718185,-2.4620730905440182,-4.2553343028811765
2025-10-02,-0.4819286435948883,-1.5646052074421863,-2.877827263718185,-2.4620730905440182,-4.2553343028811765
2025-10-03,0.08143509426852591,-1.5646052074421863,-2.877827263718185,-2.4620730905440182,-4.2553343028811765
2025-10-06,3.65991524483297,-1.5646052074421863,-2.877827263718185,-2.4620730905440182,-4.2553343028811765
2025-10-07,-0.46985207815541497,-1.5646052074421863,-2.877827263718185,-2.4620730905440182,-4.2553343028811765
2025-10-08,1.4029848210438485,-1.5646052074421863,-2.877827263718185,-2.4620730905440182,-4.2553343028811765
2025-10-09,-1.2461220437812002,-1.5646052074421863,-2.877827263718185,-2.4620730905440182,-4.2553343028811765
2025-10-10,0.6250020345171325,-1.5646052074421863,-2.877827263718185,-2.4620730905440182,-4.2553343028811765
2025-10-13,-1.728244114874796,-1.5646052074421863,-2.877827263718185,-2.4620730905440182,-4.2553343028811765
2025-10-14,0.0,-1.5646052074421863,-2.877827263718185,-2.4620730905440182,-4.2553343028811765
2025-10-15,-0.955421280481161,-1.5646052074421863,-2.877827263718185,-2.4620730905440182,-4.2553343028811765
2025-10-16,0.6379606964038987,-1.5646052074421863,-2.877827263718185,-2.4620730905440182,-4.2553343028811765
2025-10-17,-1.6025984015844457,-1.5646052074421863,-2.877827263718185,-2.4620730905440182,-4.2553343028811765
2025-10-20,-4.122595332195122,-1.5646052074421863,-2.877827263718185,-2.4620730905440182,-4.2553343028811765
2025-10-21,-0.16849203649195232,-1.5646052074421863,-2.877827263718185,-2.4620730905440182,-4.2553343028811765
2025-10-22,0.5046268067624219,-1.5646052074421863,-2.877827263718185,-2.4620730905440182,-4.2553343028811765
2025-10-23,0.3350086885282027,-1.5646052074421863,-2.877827263718185,-2.4620730905440182,-4.2553343028811765
2025-10-24,-0.5029348405001973,-1.7742510018493503,-3.299060932135608,-2.821250065755453,-4.930618130541759
2025-10-27,-0.505477066162406,-1.7742510018493503,-3.299060932135608,-2.821250065755453,-4.930618130541759
2025-10-28,1.342302033214077,-1.7742510018493503,-3.299060932135608,-2.821250065755453,-4.930618130541759
2025-10-29,1.159913584335194,-1.7742510018493503,-3.299060932135608,-2.821250065755453,-4.930618130541759
2025-10-30,-0.16488049901837823,-1.7742510018493503,-3.299060932135608,-2.821250065755453,-4.930618130541759
2025-10-31,-1.6639319003964668,-1.7742510018493503,-3.299060932135608,-2.821250065755453,-4.930618130541759
2025-11-03,-0.5046268067624272,-1.7742510018493503,-3.299060932135608,-2.821250065755453,-4.930618130541759
2025-11-04,1.3400535537482112,-1.7742510018493503,-3.299060932135608,-2.821250065755453,-4.930618130541759
2025-11-05,1.1579947430959419,-1.7742510018493503,-3.299060932135608,-2.821250065755453,-4.930618130541759
2025-11-06,-0.8257685238981577,-1.7742510018493503,-3.299060932135608,-2.821250065755453,-4.930618130541759
2025-11-07,-1.6722797729460024,-1.7742510018493503,-3.299060932135608,-2.821250065755453,-4.930618130541759
2025-11-10,-0.8467451099098494,-1.7742510018493503,-3.299060932135608,-2.821250065755453,-4.930618130541759
2025-11-11,0.16992357529598429,-1.7742510018493503,-3.299060932135608,-2.821250065755453,-4.930618130541759
2025-11-12,1.013522189404315,-1.7742510018493503,-3.299060932135608,-2.821250065755453,-4.930618130541759
2025-11-13,0.5029348405001959,-1.7742510018493503,-3.299060932135608,-2.821250065755453,-4.930618130541759
2025-11-14,0.33389012655146305,-1.7742510018493503,-3.299060932135608,-2.821250065755453,-4.930618130541759
2025-11-17,0.3327790092674746,-1.7742510018493503,-3.299060932135608,-2.821250065755453,-4.930618130541759
2025-11-18,-0.49958471933716664,-1.7742510018493503,-3.299060932135608,-2.821250065755453,-4.930618130541759
2025-11-19,-0.8382278752804388,-1.7742510018493503,-3.299060932135608,-2.821250065755453,-4.930618130541759
2025-11-20,0.0,-1.7742510018493503,-3.299060932135608,-2.821250065755453,-4.930618130541759
2025-11-21,-0.6756782462879761,-1.406389106064151,-2.6027505546922547,-2.227982143362969,-3.88364778787925
2025-11-24,-0.33955890011381606,-1.406389106064151,-2.6027505546922547,-2.227982143362969,-3.88364778787925
2025-11-25,-1.0256500167189109,-1.406389106064151,-2.6027505546922547,-2.227982143362969,-3.88364778787925
2025-11-26,-0.1719690879526588,-1.406389106064151,-2.6027505546922547,-2.227982143362969,-3.88364778787925
2025-11-27,-0.3448279278915933,-1.406389106064151,-2.6027505546922547,-2.227982143362969,-3.88364778787925
2025-11-28,-0.867308125342878,-1.406389106064151,-2.6027505546922547,-2.227982143362969,-3.88364778787925
2025-12-01,0.17406444777841182,-1.406389106064151,-2.6027505546922547,-2.227982143362969,-3.88364778787925
2025-12-02,0.17376198985408778,-1.406389106064151,-2.6027505546922547,-2.227982143362969,-3.88364778787925
2025-12-03,2.2318522955695443,-1.406389106064151,-2.6027505546922547,-2.227982143362969,-3.88364778787925
2025-12-04,0.0,-1.406389106064151,-2.6027505546922547,-2.227982143362969,-3.88364778787925
2025-12-05,-1.0238997301094312,-1.406389106064151,-2.6027505546922547,-2.227982143362969,-3.88364778787925
2025-12-08,-0.6884708777497144,-1.406389106064151,-2.6027505546922547,-2.227982143362969,-3.88364778787925
2025-12-09,0.17256259674698574,-1.406389106064151,-2.6027505546922547,-2.227982143362969,-3.88364778787925
2025-12-10,0.3442344190972699,-1.406389106064151,-2.6027505546922547,-2.227982143362969,-3.88364778787925
2025-12-11,-1.0362787035546546,-1.406389106064151,-2.6027505546922547,-2.227982143362969,-3.88364778787925
2025-12-12,-1.398624197473984,-1.406389106064151,-2.6027505546922547,-2.227982143362969,-3.88364778787925
2025-12-15,0.0,-1.406389106064151,-2.6027505546922547,-2.227982143362969,-3.88364778787925
2025-12-16,0.17590154051796245,-1.406389106064151,-2.6027505546922547,-2.227982143362969,-3.88364778787925
2025-12-17,-0.3521130398578825,-1.406389106064151,-2.6027505546922547,-2.227982143362969,-3.88364778787925
2025-12-18,0.17621149933992233,-1.406389106064151,-2.6027505546922547,-2.227982143362969,-3.88364778787925
2025-12-19,1.224862207619902,-1.3613623813383375,-2.540857505278925,-2.1770664448803743,-3.8404103688277877
2025-12-22,0.5203827875027044,-1.3613623813383375,-2.540857505278925,-2.1770664448803743,-3.8404103688277877
2025-12-23,-1.0434877292579618,-1.3613623813383375,-2.540857505278925,-2.1770664448803743,-3.8404103688277877
2025-12-24,-0.35026305512021116,-1.3613623813383375,-2.540857505278925,-2.1770664448803743,-3.8404103688277877
2025-12-25,0.1752848827414387,-1.3613623813383375,-2.540857505278925,-2.1770664448803743,-3.8404103688277877
2025-12-26,0.0,-1.3613623813383375,-2.540857505278925,-2.1770664448803743,-3.8404103688277877
2025-12-29,0.0,-1.3613623813383375,-2.540857505278925,-2.1770664448803743,-3.8404103688277877
2025-12-30,0.3496507058729306,-1.3613623813383375,-2.540857505278925,-2.1770664448803743,-3.8404103688277877
2025-12-31,0.3484324082610843,-1.3613623813383375,-2.540857505278925,-2.1770664448803743,-3.8404103688277877
2026-01-05,-0.6980831141340205,-1.3613623813383375,-2.540857505278925,-2.1770664448803743,-3.8404103688277877
2026-01-06,0.3496507058729306,-1.3613623813383375,-2.540857505278925,-2.1770664448803743,-3.8404103688277877
2026-01-07,3.9354950350610256,-1.3613623813383375,-2.540857505278925,-2.1770664448803743,-3.8404103688277877
2026-01-08,6.652898850681352,-1.3613623813383375,-2.540857505278925,-2.1770664448803743,-3.8404103688277877
2026-01-09,6.532314259798914,-1.3613623813383375,-2.540857505278925,-2.1770664448803743,-3.8404103688277877
2026-01-12,6.683367936336696,-1.3613623813383375,-2.540857505278925,-2.1770664448803743,-3.8404103688277877
2026-01-13,1.7723708664695994,-1.3613623813383375,-2.540857505278925,-2.1770664448803743,-3.8404103688277877
2026-01-14,2.666824708216127,-1.3613623813383375,-2.540857505278925,-2.1770664448803743,-3.8404103688277877
2026-01-15,-5.545707555933007,-1.3613623813383375,-2.540857505278925,-2.1770664448803743,-3.8404103688277877
2026-01-16,1.5183176421390026,-1.3613623813383375,-2.540857505278925,-2.1770664448803743,-3.8404103688277877
2026-01-19,-0.4118056608917486,-1.3613623813383375,-2.540857505278925,-2.1770664448803743,-3.8404103688277877
2026-01-20,1.094402167931721,-2.827201653654953,-5.364254567172722,-4.586740090257687,-8.19145962732907
2026-01-21,-0.9569451016150673,-2.827201653654953,-5.364254567172722,-4.586740090257687,-8.19145962732907
2026-01-22,-2.503607816132489,-2.827201653654953,-5.364254567172722,-4.586740090257687,-8.19145962732907
2026-01-23,-3.4387342309475835,-2.827201653654953,-5.364254567172722,-4.586740090257687,-8.19145962732907
2026-01-26,1.4472032608534469,-2.827201653654953,-5.364254567172722,-4.586740090257687,-8.19145962732907
2026-01-27,1.426557715882244,-2.827201653654953,-5.364254567172722,-4.586740090257687,-8.19145962732907
2026-01-28,-1.4265577158822458,-2.827201653654953,-5.364254567172722,-4.586740090257687,-8.19145962732907
2026-01-29,0.286944242795274,-2.827201653654953,-5.364254567172722,-4.586740090257687,-8.19145962732907
2026-01-30,0.997870004989627,-2.827201653654953,-5.364254567172722,-4.586740090257687,-8.19145962732907
2026-02-02,1.4084739881739023,-2.827201653654953,-5.364254567172722,-4.586740090257687,-8.19145962732907
2026-02-03,0.4187026354216453,-2.827201653654953,-5.364254567172722,-4.586740090257687,-8.19145962732907
2026-02-04,-1.4025475354504433,-2.827201653654953,-5.364254567172722,-4.586740090257687,-8.19145962732907
2026-02-05,-3.448617607116932,-2.827201653654953,-5.364254567172722,-4.586740090257687,-8.19145962732907
2026-02-06,-4.9448275413981255,-2.827201653654953,-5.364254567172722,-4.586740090257687,-8.19145962732907
2026-02-09,-0.1537279318886478,-2.827201653654953,-5.364254567172722,-4.586740090257687,-8.19145962732907
2026-02-10,-2.9666500348469693,-2.827201653654953,-5.364254567172722,-4.586740090257687,-8.19145962732907
2026-02-11,2.5040431959687357,-2.827201653654953,-5.364254567172722,-4.586740090257687,-8.19145962732907
2026-02-12,-0.7757990810939338,-2.827201653654953,-5.364254567172722,-4.586740090257687,-8.19145962732907
2026-02-13,0.31104224143923304,-2.827201653654953,-5.364254567172722,-4.586740090257687,-8.19145962732907
2026-02-23,3.0583423372080185,-2.827201653654953,-5.364254567172722,-4.586740090257687,-8.19145962732907
2026-02-24,-2.13097865867511,-3.6238318578981934,-6.837144820113968,-5.842528297349927,-10.354829617255549
2026-02-25,0.15372793188863978,-3.6238318578981934,-6.837144820113968,-5.842528297349927,-10.354829617255549
2026-02-26,0.45977092486295495,-3.6238318578981934,-6.837144820113968,-5.842528297349927,-10.354829617255549
2026-02-27,-0.7674634753108698,-3.6238318578981934,-6.837144820113968,-5.842528297349927,-10.354829617255549
2026-03-02,-3.1301460003649417,-3.6238318578981934,-6.837144820113968,-5.842528297349927,-10.354829617255549
2026-03-03,-2.0884293166920793,-3.6238318578981934,-6.837144820113968,-5.842528297349927,-10.354829617255549
2026-03-04,2.2472855852058577,-3.6238318578981934,-6.837144820113968,-5.842528297349927,-10.354829617255549
2026-03-05,-0.7968169649176845,-3.6238318578981934,-6.837144820113968,-5.842528297349927,-10.354829617255549
2026-03-06,-1.450468620288169,-3.6238318578981934,-6.837144820113968,-5.842528297349927,-10.354829617255549
2026-03-09,-7.236124681878016,-3.6238318578981934,-6.837144820113968,-5.842528297349927,-10.354829617255549
2026-03-10,5.268848122007531,-3.6238318578981934,-6.837144820113968,-5.842528297349927,-10.354829617255549
2026-03-11,0.0,-3.6238318578981934,-6.837144820113968,-5.842528297349927,-10.354829617255549
2026-03-12,-0.9983443984183262,-3.6238318578981934,-6.837144820113968,-5.842528297349927,-10.354829617255549
2026-03-13,-1.3468217050866593,-3.6238318578981934,-6.837144820113968,-5.842528297349927,-10.354829617255549
2026-03-16,-0.33955890011381606,-3.6238318578981934,-6.837144820113968,-5.842528297349927,-10.354829617255549
2026-03-17,2.850151013221463,-3.6238318578981934,-6.837144820113968,-5.842528297349927,-10.354829617255549
2026-03-18,0.0,-3.6238318578981934,-6.837144820113968,-5.842528297349927,-10.354829617255549
2026-03-19,-1.163770408020971,-3.6238318578981934,-6.837144820113968,-5.842528297349927,-10.354829617255549
2026-03-20,-3.0562650410166694,-3.6238318578981934,-6.837144820113968,-5.842528297349927,-10.354829617255549
2026-03-23,-0.6920442844573795,-3.6238318578981934,-6.837144820113968,-5.842528297349927,-10.354829617255549
2026-03-24,1.0362787035546657,-2.745124592857233,-5.191616245462766,-4.43902704926851,-7.899821100953091
2026-03-25,0.34305350967892223,-2.745124592857233,-5.191616245462766,-4.43902704926851,-7.899821100953091
2026-03-26,-0.8598505255231793,-2.745124592857233,-5.191616245462766,-4.43902704926851,-7.899821100953091
2026-03-27,1.5424470325631732,-2.745124592857233,-5.191616245462766,-4.43902704926851,-7.899821100953091
2026-03-30,-1.3698844358161915,-2.745124592857233,-5.191616245462766,-4.43902704926851,-7.899821100953091
2026-03-31,0.1722653311446156,-2.745124592857233,-5.191616245462766,-4.43902704926851,-7.899821100953091
